run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
47,2025-08-06 17:18:42,74029096.3344,-1487145.1703,5620463.5000,5620418.5000,736.9819,60006.8438,57636.1029,11.3485,3.0620,111.7358,6.4703,137.2079,4.6488,0.4919,0.9303,92.7620,182.9350,0.7137,0.9076,0.4911
48,2025-08-06 17:18:43,74088523.3275,59426.9930,76881640.0000,76881592.0000,587.3000,60284.3086,69052.5257,10.7856,2.9078,-92.1186,2.1733,142.0481,4.4844,0.5019,1.1579,95.1587,181.4718,0.7457,0.8883,0.5004
49,2025-08-06 17:18:45,72591798.5478,-1496724.7796,749052.0625,749009.1250,656.7709,60577.9297,61443.3847,10.8834,3.2827,89.1145,1.6404,136.7376,3.0474,0.4982,1.3393,88.6442,184.5315,0.7325,0.9069,0.4840
50,2025-08-06 17:18:46,71571864.9369,-1019933.6110,21595162.0000,21595118.0000,572.8043,61023.1406,65670.1975,8.5971,2.9097,-87.8395,1.9194,140.9897,3.9610,0.4960,0.8802,94.0835,177.1739,0.7520,0.9092,0.5116
51,2025-08-06 17:18:47,70564435.1538,-1007429.7831,20192988.0000,20192946.0000,618.4740,61416.1562,65909.8111,8.1697,3.0377,82.0952,6.5463,129.9888,5.4906,0.5020,1.1174,90.7565,183.8521,0.6853,0.9016,0.5005
52,2025-08-06 17:18:49,69894343.5547,-670091.5991,35719716.0000,35719672.0000,700.6741,61969.3984,55992.8037,9.1643,3.0965,98.6850,-1.7761,139.6547,4.2859,0.5075,1.1390,90.4477,183.1105,0.7799,0.9113,0.4954
53,2025-08-06 17:18:50,68991734.8838,-902608.6708,22056126.0000,22056084.0000,595.5967,62430.3438,67126.7363,10.0804,3.2360,-98.4385,0.7866,138.6302,6.3634,0.4790,1.1896,96.4529,178.9514,0.6968,0.8958,0.5123
54,2025-08-06 17:18:51,67719483.1661,-1272251.7178,290181.9375,290142.1250,665.5983,62770.4102,63309.0567,8.5937,3.1766,93.0321,-2.2483,135.3172,5.6276,0.5124,1.0884,87.0020,184.6296,0.6905,0.8947,0.4999
55,2025-08-06 17:18:53,67574735.0358,-144748.1303,59758376.0000,59758336.0000,557.4893,63339.7109,71070.0606,9.5414,2.9284,-90.7882,1.4813,135.5110,5.3268,0.5248,1.0140,85.6717,183.2165,0.7349,0.9056,0.4919
56,2025-08-06 17:18:54,66381109.8845,-1193625.1513,731765.1875,731726.5625,636.6210,63888.3750,63032.9645,8.2310,3.0430,91.0494,3.6172,134.2593,5.1732,0.5092,0.9001,88.0947,175.6824,0.6945,0.9060,0.5151
57,2025-08-06 17:18:55,65508941.4304,-872168.4541,16667548.0000,16667508.0000,549.9347,64689.7422,68772.3265,9.7516,2.9587,-90.0074,7.0400,129.5133,2.9946,0.4977,0.8480,90.2725,180.8062,0.6852,0.8826,0.5009
58,2025-08-06 17:18:57,65439797.9574,-69143.4729,61498660.0000,61498620.0000,530.6569,65447.3945,73289.4968,10.2016,2.8504,-74.5599,-1.9124,133.4860,5.6450,0.4995,0.9695,87.8895,175.4454,0.7559,0.9020,0.5016
59,2025-08-06 17:18:58,64330833.2925,-1108964.6649,10919.4785,10882.7275,667.5424,66351.5078,66247.1845,8.7045,2.9070,84.7938,-6.7321,136.2215,5.5985,0.5050,1.0803,93.6316,183.9542,0.6773,0.9052,0.5164
60,2025-08-06 17:19:00,63412217.0210,-918616.2715,9213894.0000,9213857.0000,669.0540,67342.1172,64306.6831,9.4220,2.9646,102.8902,-0.2768,133.9196,6.1841,0.4945,0.9867,87.6282,175.0893,0.6631,0.9035,0.4976
61,2025-08-06 17:19:01,64448888.4797,1036671.4587,126649216.0000,126649176.0000,691.4454,68024.1719,56770.3185,11.1362,3.2056,105.8749,-5.0187,131.1257,5.1028,0.5021,1.0032,90.3082,180.1249,0.7131,0.8985,0.5051
62,2025-08-06 17:19:02,65988387.1816,1539498.7019,159897840.0000,159897808.0000,630.8920,68031.1719,55386.1015,9.7150,2.9506,75.8266,-0.7183,142.3911,3.5607,0.5004,0.9463,88.4780,180.0559,0.7445,0.9082,0.5046
63,2025-08-06 17:19:04,64942950.3967,-1045436.7849,125903.9688,125869.7344,628.4276,67369.9141,67015.1307,9.6939,2.9302,82.5960,-2.1863,135.2691,6.2490,0.5160,0.9146,88.4790,179.4654,0.6942,0.9006,0.4969
64,2025-08-06 17:19:05,64190208.3124,-752742.0843,16767490.0000,16767457.0000,688.6166,66747.9297,62653.1214,10.6509,3.0430,92.3250,-2.9989,135.3213,5.8587,0.4910,0.9018,93.0899,187.8727,0.6646,0.9108,0.4974
65,2025-08-06 17:19:06,63239580.5076,-950627.8048,2399436.7500,2399401.0000,634.8359,66315.6094,67864.6085,9.9022,3.0600,-105.8351,-1.9693,136.7550,5.0144,0.5046,1.0501,91.4446,187.6512,0.6541,0.8924,0.5033
