run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
48,2025-08-05 19:49:49,246341526.5403,-3403771.7136,86364256.0000,86364256.0000,0.4934,69556.0312,58448.4888,10.6414,2.9660,82.8034,1.3722,141.0319,5.4146,0.5146,1.0978,89.8908,178.4160,0.6504,0.8983,0.5157
49,2025-08-05 19:49:51,242691720.2027,-3649806.3376,67501016.0000,67501016.0000,0.4616,62093.2461,71913.1216,10.9115,3.0033,83.0378,2.3928,129.8750,7.2789,0.4974,0.8916,92.1083,184.0083,0.7262,0.8990,0.4864
50,2025-08-05 19:49:53,238771859.3186,-3919860.8841,46698684.0000,46698676.0000,7.2992,65529.4453,73697.2116,9.8705,2.9646,-92.6157,-3.2938,128.6447,5.0502,0.5088,0.8708,90.4730,185.0311,0.5816,0.8873,0.4999
51,2025-08-05 19:49:54,234347597.9987,-4424261.3200,13134541.0000,13134532.0000,9.0515,65324.1758,69655.8711,11.9784,2.8689,-92.6942,2.4874,134.6784,3.9193,0.4839,0.9678,90.0303,174.0831,0.6911,0.9164,0.4877
52,2025-08-05 19:49:56,230258365.9602,-4089232.0384,21707532.0000,21707532.0000,0.3764,64475.1133,58906.3827,9.7076,3.0870,78.2016,1.6530,130.4543,3.9150,0.5046,1.0428,86.6207,184.5338,0.6408,0.9000,0.4965
53,2025-08-05 19:49:58,227779782.6025,-2478583.3577,98893448.0000,98893448.0000,0.2930,66250.5000,54364.5273,10.7097,3.1394,66.9604,-5.9559,135.0630,5.7564,0.5199,1.0300,91.8075,182.9522,0.6916,0.8962,0.5103
54,2025-08-05 19:49:59,226167704.5543,-1612078.0482,140727584.0000,140727568.0000,10.1481,71716.8672,85895.7018,9.1264,2.8189,-86.1723,2.5694,135.4738,7.2335,0.4782,1.0783,92.0436,179.9679,0.7875,0.9099,0.5080
55,2025-08-05 19:50:01,224784280.9806,-1383423.5737,150079408.0000,150079408.0000,0.6593,68903.3281,54260.9522,9.9736,2.9575,103.9874,-2.5709,143.5981,4.5272,0.4965,0.9286,85.2622,178.3742,0.6603,0.9029,0.4955
56,2025-08-05 19:50:03,221135466.5702,-3648814.4104,20450674.0000,20450674.0000,0.3557,67186.8359,61781.7238,9.9516,3.1985,105.0626,1.7921,134.1154,6.4986,0.4940,0.9880,93.8021,174.9221,0.6961,0.9033,0.4904
57,2025-08-05 19:50:04,217323566.1786,-3811900.3916,3857156.0000,3857144.2500,11.7263,69366.6172,67019.2315,9.5917,3.0554,-89.5194,5.0471,135.0457,5.2372,0.5034,0.9791,90.8508,178.9495,0.7595,0.8894,0.4887
58,2025-08-05 19:50:06,213802882.2445,-3520683.9341,13123909.0000,13123898.0000,10.8146,70011.7969,65681.8478,10.1668,3.0671,-93.4537,0.0081,132.1148,3.2368,0.5118,1.0199,87.3475,182.6587,0.7292,0.8902,0.4959
59,2025-08-05 19:50:07,210264753.7743,-3538128.4702,5053303.0000,5053302.5000,0.5018,59079.8828,56393.0635,9.5445,3.0153,107.6901,-5.6064,136.0888,4.1617,0.5289,0.9752,91.6459,180.8120,0.7501,0.8883,0.5014
60,2025-08-05 19:50:09,208088770.9447,-2175982.8296,79705792.0000,79705784.0000,9.6518,57992.3281,68663.0978,10.8274,2.9036,-77.8076,-1.0864,135.2251,3.7916,0.5110,0.8586,89.5254,180.3631,0.6828,0.8996,0.4811
61,2025-08-05 19:50:11,204696479.1690,-3392291.7757,1158972.7500,1158972.6250,0.1829,56316.2656,55029.5338,9.8388,3.0961,93.3549,-1.9015,134.6697,4.7575,0.4986,1.0041,92.1644,176.9995,0.6998,0.8915,0.4972
62,2025-08-05 19:50:12,201545937.1501,-3150542.0189,9362874.0000,9362874.0000,0.1984,54066.7305,57723.9880,8.4270,3.0146,94.0249,0.0736,134.7230,4.4884,0.5088,1.0348,86.6816,178.5325,0.6793,0.9082,0.5068
63,2025-08-05 19:50:14,198820706.0842,-2725231.0659,29856392.0000,29856380.0000,11.2870,55688.9336,62219.7813,8.7379,3.0618,-83.3979,-1.6914,134.9445,4.1960,0.4936,0.9352,87.2504,172.8659,0.7012,0.9141,0.4945
64,2025-08-05 19:50:16,197762989.1767,-1057716.9076,131126832.0000,131126824.0000,11.5031,53878.6133,67565.2534,9.3240,2.9746,-85.3834,0.2830,133.4584,4.8518,0.4914,0.9352,89.2528,181.3930,0.7697,0.8990,0.5022
65,2025-08-05 19:50:17,194727979.9042,-3035009.2724,487386.7188,487386.4688,0.2389,57509.1797,56674.7554,10.8829,2.9054,84.9840,-5.5266,144.2707,4.5015,0.5096,0.9621,89.5628,182.9157,0.8082,0.9000,0.4978
66,2025-08-05 19:50:19,192172820.2996,-2555159.6046,26087446.0000,26087446.0000,0.1823,54546.0898,60650.8231,10.4469,2.8478,95.1082,-5.8670,133.8094,5.4043,0.5002,0.9252,94.8222,183.5178,0.5888,0.8799,0.5163
67,2025-08-05 19:50:21,189778607.3996,-2394212.9000,31760570.0000,31760556.0000,14.4952,63589.7812,70325.6691,10.7003,3.0212,-78.6667,-2.0663,137.3400,5.9115,0.5102,0.8361,92.0205,178.2915,0.7897,0.8868,0.4783
68,2025-08-05 19:50:22,187914031.2908,-1864576.1088,62987448.0000,62987432.0000,14.7419,58617.5273,68103.4121,11.0208,3.0871,-96.8317,-7.0518,126.2678,5.2334,0.5205,0.9625,89.7957,177.5063,0.6676,0.8962,0.5136
